Exhaust,Supply,Return,Outside
-6.9,16.6,23,10.8
-12.8,17,22.9,10.9
-20.8,15.9,22.7,5.8
-23.3,14,22.7,1.8
-23.6,12.9,22.7,-0.3
-23.4,12.4,22.5,-1.2
-24.3,12.1,22.4,-1.9
-24.3,11.7,22.4,-2.6
-24.1,11.6,22.2,-2.8
-24.8,11.4,22,-3.2
-24.3,11.2,22.1,-3.5
-24.3,11.1,22,-3.6
-25.1,11,21.9,-3.9
-24.3,10.9,22,-3.9
-24.5,10.9,21.9,-3.9
-25.3,10.8,21.9,-4.2
-24.3,10.7,21.9,-4.3
-24.7,10.8,22,-4.1
-25,10.7,22,-4.5
-24.3,10.7,22,-4.5
-24.9,10.8,22,-4.4
-25,10.6,21.9,-4.7
-24.1,10.6,21.9,-4.7
-24.7,10.7,21.9,-4.5
-24.9,10.6,21.8,-4.7
-24.3,10.5,21.9,-4.8
-24.9,10.5,21.9,-4.7
-24.9,10.4,21.7,-5
-24.5,10.3,21.8,-4.9
-25.3,10.4,21.7,-4.9
-24.7,10.3,21.8,-5.1
-24.5,10.4,21.8,-4.8
-25,10.4,21.8,-4.9
-24.5,10.3,21.8,-5
-24.5,10.4,21.7,-4.8
-25.3,10.3,21.9,-4.9
-24.3,10.4,21.8,-5
-16,10.6,22.1,-1.1
-13.7,11.5,22.3,1.1
-4.1,12.4,22.4,3.1
-2.5,13.3,22.5,4.6
-1.7,14,22.5,5.9
-0.3,14.8,22.5,7.2
0,15.5,22.6,8.5
1.7,16.1,22.6,9.5
2.4,16.6,22.6,10.3
2.8,16.9,22.6,11
-17.3,16.6,22.5,8.2
-22.8,14.5,22.4,3
-23.2,13,22.3,0.4
-23.9,12.2,22.1,-1
-24.7,11.7,22.1,-2
-24.1,11.4,21.9,-2.5
-24.8,11.2,21.9,-2.9
-24.8,11,21.8,-3.3
-24.3,10.8,21.8,-3.5
-25.2,10.7,21.7,-3.7
-24.9,10.5,21.6,-4.2
-24.5,10.4,21.6,-4.2
-25.4,10.4,21.6,-4.5
-24.7,10.2,21.5,-4.7
-24.9,10.2,21.6,-4.7
-25.3,10.1,21.3,-4.9
-24.5,10.1,21.5,-4.6
-25.2,10.2,21.4,-4.7
-25.2,10.1,21.3,-5
-24.6,10,21.5,-5
-25.2,10.1,21.4,-5
-25.1,10,21.3,-5.3
-24.7,9.9,21.3,-5.3
-25.4,10,21.3,-5.2
-24.7,9.9,21.2,-5.3
-24.9,9.9,21.3,-5.2
-25.7,9.8,21.2,-5.4
-24.9,9.7,21.3,-5.4
-24.8,9.8,21.2,-5.3
-25.5,9.7,21.1,-5.5
-24.9,9.5,21.3,-5.6
-25,9.6,21.1,-5.4
-25.6,9.6,21.2,-5.5
-24.8,9.5,21.2,-5.7
-25.1,9.5,21.1,-5.5
-17.3,9.8,21.4,-3.1
-14.9,10.6,21.6,0.5
-6.2,11.4,21.7,1.9
-4,12.3,21.7,3.7
-2.8,13.1,21.8,5
-2.3,13.7,21.8,6.1
-1.2,14.5,21.9,7.3
-0.3,15.1,21.9,8.3
-0.1,15.5,22,9.1
0,16,21.9,10
-15.7,16.3,21.9,9.2
-22.6,14.5,21.8,3.9
-23.2,12.8,21.7,0.7
-23.9,11.9,21.6,-0.8
-24.9,11.4,21.6,-1.9
-24.4,11.1,21.4,-2.5
-24.7,10.8,21.4,-3
-25.1,10.7,21.4,-3.4
-24.4,10.5,21.4,-3.7
-25.2,10.4,21.3,-3.9
-25.1,10.3,21.2,-4
-24.5,10.1,21.1,-4.2
-25.3,10.1,21.1,-4.3
-25.1,10,21.1,-4.7
-24.6,9.9,21.1,-4.8
-25.5,9.9,21,-4.8
-24.9,9.8,21,-5
-24.7,9.8,21,-5
-25.6,9.8,21,-5.1
-24.9,9.7,20.9,-5.2
-24.7,9.7,21,-5.2
-25.5,9.6,21,-5.3
-25.4,9.5,21.1,-5.4
-24.6,9.6,20.9,-5.4
-25.2,9.5,20.9,-5.4
-25.1,9.6,20.9,-5.4
-24.7,9.5,20.9,-5.4
-25.4,9.4,20.7,-5.5
-25,9.2,20.8,-5.7
-24.9,9.4,20.8,-5.5
-25.6,9.3,20.9,-5.6
-25,9.1,20.8,-5.8
-25,9.3,20.8,-5.5
-25.6,9.2,20.8,-5.7
-24.9,9.2,20.9,-5.7
-16.8,9.7,20.9,-4.5
-16.3,9.9,21.2,-0.4
-14.4,11,21.3,1.4
-5,11.7,21.5,2.9
-4.2,12.5,21.4,4.4
-2.9,13.3,21.5,5.5
-2.1,13.8,21.6,6.5
-1.2,14.5,21.7,7.5
-0.6,15.1,21.7,8.5
-0.1,15.5,21.8,9.2
-1,16,21.8,9.8
-21,15,21.5,5.5
-23.3,13.1,21.6,1.5
-24.1,11.9,21.4,-0.5
-23.8,11.4,21.3,-1.5
-24.8,11,21.2,-2.2
-25,10.7,21.2,-3.1
-24.3,10.4,21.1,-3.3
-25.2,10.3,21,-3.7
-25,10.1,21,-4.2
-24.6,10,20.9,-4.2
-25.4,10,20.9,-4.4
-25.2,9.7,20.9,-4.6
-24.5,9.7,20.9,-4.4
-25.3,9.8,20.9,-4.6
-25.4,9.7,20.8,-5
-24.7,9.6,20.9,-5.1
-25.2,9.7,20.8,-4.9
